OBJECTID,PROPERTYID,NAME,ACRES,Shape_Length,Shape_Area
1,48,Albert Kelly Park,12.0861518,1439.25217016047,99517.6849965819
2,49,Alberta Park,16.40379728,1597.32013713448,135441.949786155
3,51,April Hill Park,10.12226537,1454.65078061007,83301.3446324204
4,52,Arbor Lodge Park,8.69146831,1089.42484380668,71783.7757439212
5,53,Argay Park,8.92825225,1172.20830159044,73684.9118506175
6,1221,Arnold Creek Natural Area,0.47920382,257.698701358767,3940.19717088123
7,1218,Beach Community Garden,0.41323248,243.665951494547,3411.00289037978
8,57,Berkeley Park,6.48069285,1149.63283740895,53338.1599646665
9,59,Berrydale Park,6.31196119,1110.44908297537,52025.33503882
10,63,Brentwood Park,14.0621681,1703.22803058973,115738.031860082
11,67,Brooklyn Park,2.39395533,568.976912357444,19720.5979635567
12,89,Buckman Community Garden,0.15972096,183.978381140972,1316.71840241565
13,97,Cathedral Park,21.85153978,2321.72306562795,180567.848270778
14,1,Cherry Blossom Park,0.95590541,364.318392911385,7877.34017944195
15,9,Clinton Community Garden,0.41879696,245.780334391293,3450.53498324151
16,10,Clinton Park,12.13807179,1664.3635320496,100004.928711752
17,12,Colonel Summers Park,5.99259115,1161.62383403572,49394.5265569061
18,17,Columbia Park,35.36862506,3121.65030013033,292176.861756391
19,20,Columbia Slough Trail,2.42885941,3241.17099318575,20063.207478267
20,21,Community Music Center,0.22957659,173.941216746721,1890.90848291326
21,22,Cottonwood Bay,0.83396951,470.998574533573,6867.85616259569
22,24,Council Crest Park,42.95008773,4093.56054448249,353811.635885783
23,25,Creston Park,14.38059242,1446.4046539539,118452.538814753
24,27,Crystal Springs Rhododendron Garden,9.4895708,1798.08055467727,78117.2195069903
25,31,'Scht Wiwnu Park,6.32544288,1002.56536055709,52055.7042746126
26,33,Dawson Park,2.04897586,514.865778758345,16905.8135232082
27,37,DeNorval Unthank Park,2.4970896,605.995358821452,20604.0329176306
28,38,DeWitt Park,0.63585112,311.683551510451,5235.47595881164
29,39,Dickinson Park,18.66048415,2467.63163548305,153453.42377952
30,44,Duniway Park,14.02842719,2379.68688229439,115581.966162574
31,1109,East Holladay Park,5.72555851,940.465025797882,47218.8906637164
32,1255,Eastmoreland Garden,0.40774098,231.506521924437,3355.93755392352
33,106,Eastmoreland Golf Course,138.49698675,9780.26772281129,1139891.65279789
34,109,Eastmoreland Playground Park,0.24106565,194.715893020527,1983.56379647277
35,110,Eastridge Park,3.50400036,1075.9801517621,28830.5996168024
36,116,Essex Park,4.42980363,772.412293731922,36485.8897522371
37,117,Everett Community Garden,0.3687724,247.167453842719,3040.59974889575
38,1246,Exeter Property,0.27640536,445.316930756517,2284.58043886299
39,118,Fanno Creek Natural Area,7.3684285,2378.21312182937,60676.8348203631
40,119,Farragut Park,13.97689765,1459.03283308721,115467.505215004
41,122,Firehouse Theater,0.18365605,156.616719137824,1513.70643122391
42,123,Flavel Park,4.20265726,812.330382538468,34582.5593455636
43,126,Forest Heights Park,2.93417756,660.52247981977,24208.7987792209
44,130,Frazer Park,3.81193474,782.439710850212,31436.5990537898
45,1217,Front and Curry Community Garden,0.22883452,178.009421223286,1885.00659906852
46,133,Fulton Park,8.70280447,1380.79831849261,71622.4325979045
47,136,Gabriel Park,89.67281512,4370.13773220224,738032.386513448
48,137,Gammans Park,1.65598386,488.485701325885,13678.2497543813
49,148,George Park,2.03029862,559.828608572131,16780.8479074763
50,152,Glenfair Park,4.73577406,875.198895282111,39046.1668232158
51,153,Glenhaven Park,14.39494979,1419.77464872869,118767.960013204
52,154,Glenwood Park,7.29987113,1004.2457531433,60081.7295133459
53,166,Governors Park,5.73845117,1165.73517843967,47285.5489835389
54,167,Grant Park,12.37226463,1545.40143209504,102072.418056469
55,170,Hamilton Park,10.48600884,1199.40359621126,86358.8135974909
56,171,Hancock Park,3.60022965,712.023928112472,29696.9925368949
57,172,Harbor View Property,2.84276092,1303.75751679715,23484.8822148585
58,173,Harney Park,6.50127548,926.058349091519,53487.5207949726
59,175,Harrison Park,4.63379391,837.432837422871,38184.7415811589
60,1237,Hazeltine Park,1.02336288,387.9283954531,8420.33538078434
61,178,Healy Heights Park,1.18481341,416.322914067406,9758.10911413956
62,179,Heritage Tree Park,0.09182782,121.671429323485,756.36854207656
63,180,Heron Lakes Golf Course,340.77409266,7381.16119227846,2817520.31416588
64,183,Hillsdale Park,5.17257219,1049.22402787183,42584.2599659995
65,185,Hillside Park,3.41395834,708.623577722784,28151.6042584675
66,186,Holladay Park,4.54037326,774.080854602101,37444.3135527844
67,1239,Holly Farm Park,1.70217091,496.257395945995,13996.6237552603
68,191,Interstate Firehouse Cultural Center,0.07557971,118.74750258492,623.982525592529
69,194,Ira Keller Fountain Park,0.91845932,348.016908984034,7569.70760256507
70,195,Irving Park,16.08345836,1458.99799354447,132715.738532566
71,197,Ivon Community Garden,0.19131046,159.493863950915,1576.26420790996
